date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:55	125647/125647	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:55%20GMT	https://www.fonehouse.co.uk/brand/google-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/google-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:56	148040/148040	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:56%20GMT	https://www.fonehouse.co.uk/brand/xiaomi-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/xiaomi-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:57	144478/144478	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:57%20GMT	https://www.fonehouse.co.uk/brand/honor-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/honor-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:57	123376/123376	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:57%20GMT	https://www.fonehouse.co.uk/brand/cat-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/cat-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:59	120725/120725	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:59%20GMT	https://www.fonehouse.co.uk/brand/doro-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/doro-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:00	138627/138627	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:00%20GMT	https://www.fonehouse.co.uk/brand/emporia-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/emporia-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:01	129061/129061	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:01%20GMT	https://www.fonehouse.co.uk/brand/nokia-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/nokia-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:02	130322/130322	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:02%20GMT	https://www.fonehouse.co.uk/brand/oneplus-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/oneplus-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:03	142999/142999	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:03%20GMT	https://www.fonehouse.co.uk/brand/oppo-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/oppo-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:04	1616/1616	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-650%22	https://www.fonehouse.co.uk/images/header/nav/network.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/network.svg	(from https://www.fonehouse.co.uk/)
21:51:05	187080/187080	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:05%20GMT	https://www.fonehouse.co.uk/network/three-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/network/three-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:06	180340/180340	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:06%20GMT	https://www.fonehouse.co.uk/network/vodafone-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/network/vodafone-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:08	703/703	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa544-2bf%22	https://www.fonehouse.co.uk/images/header/nav/other.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/other.svg	(from https://www.fonehouse.co.uk/)
21:51:08	168880/168880	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:08%20GMT	https://www.fonehouse.co.uk/network/talkmobile-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/network/talkmobile-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:10	170315/170315	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:10%20GMT	https://www.fonehouse.co.uk/os/android-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/os/android-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:11	166606/166606	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:11%20GMT	https://www.fonehouse.co.uk/os/ios-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/os/ios-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:11	2764/2764	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-acc%22	https://www.fonehouse.co.uk/images/header/nav/offers.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/offers.svg	(from https://www.fonehouse.co.uk/)
21:51:12	167056/167056	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:12%20GMT	https://www.fonehouse.co.uk/best-apple-iphone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/best-apple-iphone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:12	831/831	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-33f%22	https://www.fonehouse.co.uk/images/header/nav/apple-brand.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/apple-brand.svg	(from https://www.fonehouse.co.uk/)
21:51:14	150589/150589	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:14%20GMT	https://www.fonehouse.co.uk/iphone-13-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/iphone-13-deals.html	(from https://www.fonehouse.co.uk/)
21:51:14	120023/120023	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:15%20GMT	https://www.fonehouse.co.uk/iphone-12-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/iphone-12-deals.html	(from https://www.fonehouse.co.uk/)
21:51:15	106505/106505	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:16%20GMT	https://www.fonehouse.co.uk/iphone-11-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/iphone-11-deals.html	(from https://www.fonehouse.co.uk/)
21:51:16	105103/105103	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:16%20GMT	https://www.fonehouse.co.uk/iphone-se-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/iphone-se-deals.html	(from https://www.fonehouse.co.uk/)
21:51:17	5034/5034	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-13aa%22	https://www.fonehouse.co.uk/images/header/nav/samsung.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/samsung.svg	(from https://www.fonehouse.co.uk/)
21:51:18	2182/2182	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa541-886%22	https://www.fonehouse.co.uk/images/header/nav/samsung-brand.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/samsung-brand.svg	(from https://www.fonehouse.co.uk/)
21:51:18	157892/157892	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:18%20GMT	https://www.fonehouse.co.uk/best-samsung-galaxy-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/best-samsung-galaxy-deals.html	(from https://www.fonehouse.co.uk/)
21:51:19	221295/221295	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:19%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/samsung-galaxy-s21-5g	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/samsung-galaxy-s21-5g.html	(from https://www.fonehouse.co.uk/)
21:51:20	231633/231633	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:20%20GMT	https://www.fonehouse.co.uk/mobile-phone-deals/samsung-galaxy-s20-fe	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/mobile-phone-deals/samsung-galaxy-s20-fe.html	(from https://www.fonehouse.co.uk/)
21:51:23	326492/326492	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:22%20GMT	https://www.fonehouse.co.uk/best-three-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/best-three-deals.html	(from https://www.fonehouse.co.uk/)
21:51:23	3738/3738	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa541-e9a%22	https://www.fonehouse.co.uk/images/header/nav/three.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/three.svg	(from https://www.fonehouse.co.uk/)
21:51:25	238107/238107	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:25%20GMT	https://www.fonehouse.co.uk/best-vodafone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/best-vodafone-deals.html	(from https://www.fonehouse.co.uk/)
21:51:25	4965/4965	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-1365%22	https://www.fonehouse.co.uk/images/header/nav/vodafone.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/vodafone.svg	(from https://www.fonehouse.co.uk/)
21:51:26	1124/1124	---M--	200	added ('OK')	image/webp	etag:%22cfaRtAKHqsN4GtXrU2h8v69g:527477bc281272dd0b5c92e227d48f6d%22	https://www.fonehouse.co.uk/cdn-cgi/image/format=webp,quality=100,width=50,height=50/shared/tariff/providers/button-NEW-TM.png	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/cdn-cgi/image/format=webp,quality=100,width=50,height=50/shared/tariff/providers/button-NEW-TM.png	(from https://www.fonehouse.co.uk/)
21:51:28	421585/421585	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:51:28%20GMT	https://www.fonehouse.co.uk/best-5g-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/best-5g-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
